phone_id	total	good	neutral	bad	url
1073311	37276	33642	1901	1733	http://item.m.jd.com/product/1073311.html
1386564	39253	36348	1830	1075	http://item.m.jd.com/product/1386564.html
3352172	25734	24381	813	540	http://item.m.jd.com/product/3352172.html
3352168	25734	24381	813	540	http://item.m.jd.com/product/3352168.html
3022599	8395	7797	290	308	http://item.m.jd.com/product/3022599.html
3650504	9915	9634	155	126	http://item.m.jd.com/product/3650504.html
3352194	8396	7798	290	308	http://item.m.jd.com/product/3352194.html
3352192	8395	7797	290	308	http://item.m.jd.com/product/3352192.html
2223753	1009	941	38	30	http://item.m.jd.com/product/2223753.html
1326706	23538	21575	1122	841	http://item.m.jd.com/product/1326706.html
1341911	21068	19235	1079	754	http://item.m.jd.com/product/1341911.html
3220617	9915	9634	155	126	http://item.m.jd.com/product/3220617.html
1326953	8852	8008	447	397	http://item.m.jd.com/product/1326953.html
1326950	5437	4993	248	196	http://item.m.jd.com/product/1326950.html
1398253	4351	4024	176	151	http://item.m.jd.com/product/1398253.html
1851296	4263	3944	196	123	http://item.m.jd.com/product/1851296.html
10707368054	140	130	3	7	http://item.m.jd.com/product/10707368054.html
10550190104	205	185	11	9	http://item.m.jd.com/product/10550190104.html
10583182431	48	43	3	2	http://item.m.jd.com/product/10583182431.html
10648027652	47	47	0	0	http://item.m.jd.com/product/10648027652.html
1341838	21068	19235	1079	754	http://item.m.jd.com/product/1341838.html
10653052410	23	22	1	0	http://item.m.jd.com/product/10653052410.html
3888686	262123	246762	9945	5416	http://item.m.jd.com/product/3888686.html
3603593	262127	246766	9945	5416	http://item.m.jd.com/product/3603593.html
1561145211	3003	2668	170	165	http://item.m.jd.com/product/1561145211.html
10290135786	126	116	3	7	http://item.m.jd.com/product/10290135786.html
10285129720	135	122	3	10	http://item.m.jd.com/product/10285129720.html
10524445307	183	168	7	8	http://item.m.jd.com/product/10524445307.html
10298652144	242	230	6	6	http://item.m.jd.com/product/10298652144.html
10605170372	78	73	3	2	http://item.m.jd.com/product/10605170372.html
10524487393	21	19	0	2	http://item.m.jd.com/product/10524487393.html
10522477105	34	33	0	1	http://item.m.jd.com/product/10522477105.html
10574688383	35	33	1	1	http://item.m.jd.com/product/10574688383.html
10547388652	3	3	0	0	http://item.m.jd.com/product/10547388652.html
10609226332	2	2	0	0	http://item.m.jd.com/product/10609226332.html
10835957256	3	3	0	0	http://item.m.jd.com/product/10835957256.html
10294034772	2	1	0	1	http://item.m.jd.com/product/10294034772.html
10692397315	1	1	0	0	http://item.m.jd.com/product/10692397315.html
1945514	40749	39128	1045	576	http://item.m.jd.com/product/1945514.html
3486566	203	183	9	11	http://item.m.jd.com/product/3486566.html
3326786	131	108	15	8	http://item.m.jd.com/product/3326786.html
1364562	11846	11314	289	243	http://item.m.jd.com/product/1364562.html
1312327	11846	11314	289	243	http://item.m.jd.com/product/1312327.html
3049292	1912	1833	50	29	http://item.m.jd.com/product/3049292.html
1858981	2085	1954	68	63	http://item.m.jd.com/product/1858981.html
1500131	1618	1516	62	40	http://item.m.jd.com/product/1500131.html
3102626	107	97	6	4	http://item.m.jd.com/product/3102626.html
2532271	32	29	1	2	http://item.m.jd.com/product/2532271.html
3630009	1	1	0	0	http://item.m.jd.com/product/3630009.html
2288950	1708	1611	52	45	http://item.m.jd.com/product/2288950.html
1984558	957	851	47	59	http://item.m.jd.com/product/1984558.html
2897445	715	652	32	31	http://item.m.jd.com/product/2897445.html
3049302	95	81	5	9	http://item.m.jd.com/product/3049302.html
3599935	119	113	5	1	http://item.m.jd.com/product/3599935.html
2589814	10269	9775	250	244	http://item.m.jd.com/product/2589814.html
2972184	10267	9774	249	244	http://item.m.jd.com/product/2972184.html
2972174	10267	9774	249	244	http://item.m.jd.com/product/2972174.html
2972186	10269	9775	250	244	http://item.m.jd.com/product/2972186.html
2972172	10267	9774	249	244	http://item.m.jd.com/product/2972172.html
2589808	10267	9774	249	244	http://item.m.jd.com/product/2589808.html
2589818	10267	9774	249	244	http://item.m.jd.com/product/2589818.html
2589810	10267	9774	249	244	http://item.m.jd.com/product/2589810.html
